a,p
14,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
16,0
15,0
15,0
15,0
15,0
14,0
14,0
14,0
14,0
14,0
15,0
14,0
14,0
15,0
15,0
15,0
15,0
15,0
14,0
14,0
13,0
13,0
13,0
14,0
14,0
14,0
14,0
14,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
15,0
15,0
15,0
14,0
14,0
14,0
15,0
14,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
14,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
14,0
15,0
15,0
15,0
15,0
14,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
13,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
14,0
14,0
15,0
14,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
15,0
15,0
15,0
15,0
14,0
15,0
14,0
14,0
15,0
14,0
15,0
15,0
15,0
14,0
14,0
15,0
15,0
15,0
16,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
14,0
14,0
14,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
14,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
14,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
14,0
15,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
15,0
15,0
15,0
14,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
16,0
14,0
14,0
14,0
14,0
14,0
15,0
15,0
14,0
14,0
14,0
14,0
15,0
14,0
15,0
15,0
15,0
15,0
14,0
14,0
14,0
14,0
14,0
14,0
15,0
15,0
15,0
15,0
14,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
14,0
15,0
15,0
15,0
14,0
14,0
15,0
15,0
15,0
15,0
15,0
14,0
14,0
15,0
12,0
16,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
14,0
14,0
15,0
15,0
14,0
13,0
14,0
15,0
14,0
15,0
15,0
14,0
14,0
14,0
14,0
14,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
15,0
15,0
14,0
14,0
14,0
13,0
14,0
15,0
14,0
14,0
14,0
15,0
14,0
14,0
15,0
15,0
15,0
14,0
15,0
15,0
15,0
14,0
14,0
11,0
17,0
15,0
13,0
15,0
15,0
15,0
14,0
14,0
15,0
13,0
21,0
15,0
13,0
13,0
15,0
13,0
15,0
15,0
14,0
14,0
14,0
14,0
14,0
15,0
16,0
15,0
15,0
18,0
15,0
14,0
14,0
14,0
14,0
15,0
14,0
14,0
15,0
17,0
17,0
14,0
16,0
15,0
22,0
132,274
45,24
10,0
17,0
14,0
16,0
13,0
13,0
15,0
16,0
16,0
15,0
17,0
15,0
13,0
10,0
50,0
10,0
23,0
13,0
13,0
14,0
15,0
16,0
16,0
14,0
15,0
14,0
15,0
16,0
16,0
15,0
15,0
15,0
13,0
14,0
14,0
14,0
15,0
15,0
15,0
14,0
15,0
15,0
14,0
16,0
16,0
17,0
18,0
17,0
15,0
14,0
15,0
14,0
13,0
15,0
13,0
16,0
15,0
15,0
13,0
13,0
14,0
13,0
15,0
16,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
15,0
16,0
15,0
15,0
15,0
15,0
14,0
14,0
14,0
14,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
14,0
15,0
15,0
15,0
14,0
15,0
14,0
14,0
13,0
14,0
14,0
15,0
16,0
15,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
15,0
16,0
16,0
15,0
16,0
15,0
14,0
14,0
14,0
15,0
15,0
14,0
15,0
14,0
14,0
12,0
12,0
14,0
14,0
14,0
14,0
14,0
13,0
15,0
21,0
16,0
14,0
14,0
15,0
16,0
15,0
16,0
14,0
15,0
13,0
15,0
14,0
14,0
14,0
15,0
14,0
16,0
15,0
15,0
15,0
16,0
15,0
21,0
16,0
15,0
14,0
14,0
14,0
22,0
132,160
156,0
31,0
11,0
15,0
13,0
13,0
12,0
13,0
17,0
19,0
17,0
16,0
13,0
14,0
10,0
12,0
12,0
10,0
16,0
46,0
21,0
25,0
10,0
17,0
17,0
18,0
18,0
16,0
15,0
13,0
14,0
13,0
13,0
13,0
13,0
13,0
14,0
14,0
14,0
14,0
14,0
14,0
15,0
15,0
16,0
15,0
14,0
14,0
14,0
14,0
15,0
15,0
15,0
15,0
15,0
13,0
14,0
15,0
14,0
16,0
15,0
14,0
14,0
14,0
15,0
15,0
14,0
14,0
16,0
15,0
15,0
15,0
14,0
15,0
15,0
15,0
15,0
14,0
15,0
15,0
16,0
16,0
17,0
15,0
21,0
15,0
13,0
13,0
13,0
12,0
13,0
13,0
15,0
13,0
13,0
13,0
14,0
14,0
15,0
19,0
16,0
15,0
16,0
15,0
13,0
13,0
14,0
14,0
15,0
17,0
16,0
15,0
14,0
15,0
15,0
16,0
16,0
14,0
14,0
14,0
14,0
13,0
15,0
14,0
15,0
14,0
14,0
13,0
14,0
15,0
15,0
14,0
14,0
14,0
15,0
14,0
15,0
16,0
17,0
17,0
15,0
10,0
15,0
250,1136
29,160
19,0
14,0
15,0
13,0
12,0
14,0
16,0
17,0
16,0
16,0
14,0
14,0
15,0
15,0
12,0
14,0
19,0
12,0
13,0
16,0
13,0
14,0
14,0
101,0
17,0
15,0
15,0
17,0
16,0
15,0
16,0
16,0
16,0
16,0
16,0
17,0
16,0
16,0
14,0
15,0
15,0
13,0
14,0
16,0
16,0
14,0
13,0
12,0
11,0
11,0
12,0
12,0
11,0
11,0
12,0
12,0
14,0
14,0
15,0
18,0
16,0
15,0
15,0
12,0
11,0
11,0
11,0
12,0
13,0
14,0
16,0
15,0
15,0
15,0
14,0
16,0
16,0
16,0
18,0
18,0
19,0
17,0
15,0
15,0
14,0
15,0
16,0
19,0
17,0
16,0
15,0
14,0
10,0
10,0
10,0
11,0
11,0
11,0
14,0
16,0
19,0
20,0
23,0
21,0
17,0
16,0
19,0
18,0
14,0
19,0
20,0
17,0
15,0
13,0
13,0
12,0
14,0
15,0
16,0
16,0
16,0
15,0
16,0
16,0
16,0
17,0
16,0
14,0
16,0
16,0
17,0
20,0
18,0
18,0
15,0
12,0
11,0
15,0
14,0
16,0
17,0
17,0
19,0
19,0
18,0
17,0
16,0
15,0
17,0
16,0
15,0
16,0
18,0
15,0
15,0
27,0
13,0
15,0
19,0
19,0
17,0
16,0
15,0
11,0
15,0
18,0
14,0
16,0
29,0
17,0
19,0
19,0
17,0
17,0
14,0
14,0
15,0
11,0
15,0
19,0
33,0
19,0
10,0
8,0
12,0
20,0
24,0
18,0
22,0
22,0
20,0
19,0
20,0
19,0
17,0
16,0
14,0
13,0
14,0
15,0
15,0
13,0
14,0
13,0
13,0
13,0
14,0
15,0
14,0
3,0
20,0
22,0
11,0
12,0
23,0
24,0
19,0
22,0
21,0
21,0
21,0
19,0
20,0
12,0
16,0
15,0
14,0
16,0
17,0
16,0
17,0
16,0
15,0
15,0
16,0
15,0
15,0
16,0
15,0
15,0
14,0
15,0
14,0
14,0
14,0
14,0
14,0
14,0
14,0
13,0
13,0
14,0
15,0
15,0
16,0
15,0
14,0
14,0
14,0
13,0
14,0
14,0
14,0
15,0
15,0
15,0
16,0
17,0
15,0
16,0
13,0
13,0
13,0
