a,p
12,0
13,0
12,0
12,0
12,0
13,0
11,0
11,0
12,0
12,0
11,0
12,0
11,0
12,0
12,0
11,0
11,0
12,0
12,0
11,0
12,0
11,0
11,0
11,0
11,0
12,0
11,0
11,0
12,0
11,0
12,0
11,0
12,0
12,0
11,0
12,0
11,0
12,0
12,0
12,0
11,0
12,0
13,0
11,0
11,0
12,0
12,0
11,0
11,0
12,0
13,0
12,0
12,0
11,0
12,0
11,0
11,0
11,0
12,0
11,0
12,0
12,0
11,0
12,0
11,0
11,0
11,0
12,0
12,0
11,0
11,0
11,0
11,0
11,0
13,0
11,0
12,0
11,0
11,0
12,0
12,0
11,0
13,0
11,0
12,0
11,0
13,0
11,0
12,0
11,0
11,0
12,0
11,0
12,0
12,0
13,0
13,0
13,0
11,0
11,0
11,0
11,0
12,0
11,0
11,0
12,0
11,0
13,0
11,0
12,0
12,0
12,0
12,0
11,0
13,0
11,0
12,0
12,0
12,0
12,0
12,0
11,0
13,0
12,0
11,0
11,0
12,0
11,0
12,0
11,0
11,0
11,0
11,0
12,0
11,0
11,0
12,0
12,0
12,0
12,0
12,0
11,0
12,0
12,0
11,0
12,0
12,0
12,0
11,0
12,0
12,0
11,0
11,0
11,0
11,0
12,0
11,0
12,0
12,0
11,0
12,0
11,0
12,0
13,0
11,0
12,0
12,0
11,0
11,0
12,0
11,0
13,0
11,0
11,0
11,0
11,0
11,0
12,0
11,0
12,0
11,0
12,0
11,0
11,0
11,0
12,0
12,0
12,0
12,0
12,0
12,0
13,0
11,0
11,0
11,0
11,0
12,0
11,0
11,0
11,0
11,0
11,0
11,0
12,0
13,0
12,0
11,0
11,0
11,0
11,0
11,0
12,0
12,0
12,0
12,0
11,0
11,0
12,0
12,0
12,0
11,0
11,0
12,0
12,0
11,0
11,0
12,0
12,0
11,0
12,0
12,0
11,0
11,0
12,0
12,0
11,0
11,0
12,0
12,0
11,0
11,0
13,0
11,0
12,0
11,0
11,0
12,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
12,0
12,0
11,0
12,0
11,0
11,0
11,0
12,0
13,0
12,0
12,0
13,0
12,0
12,0
12,0
11,0
13,0
12,0
12,0
11,0
11,0
11,0
12,0
13,0
11,0
12,0
11,0
12,0
11,0
11,0
12,0
11,0
11,0
11,0
12,0
11,0
11,0
11,0
12,0
11,0
12,0
11,0
11,0
11,0
12,0
12,0
12,0
11,0
12,0
13,0
12,0
12,0
12,0
11,0
13,0
11,0
12,0
12,0
13,0
11,0
11,0
11,0
12,0
11,0
12,0
11,0
12,0
12,0
11,0
12,0
12,0
12,0
12,0
12,0
13,0
11,0
11,0
13,0
11,0
12,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
11,0
12,0
11,0
12,0
12,0
11,0
11,0
13,0
11,0
12,0
11,0
12,0
12,0
11,0
12,0
11,0
12,0
12,0
12,0
11,0
12,0
13,0
12,0
12,0
11,0
12,0
12,0
12,0
13,0
13,0
12,0
12,0
12,0
12,0
13,0
12,0
12,0
12,0
13,0
13,0
12,0
13,0
13,0
13,0
12,0
11,0
12,0
12,0
11,0
13,0
12,0
11,0
13,0
11,0
11,0
12,0
12,0
13,0
12,0
12,0
12,0
12,0
12,0
13,0
12,0
11,0
12,0
11,0
11,0
12,0
11,0
12,0
13,0
11,0
11,0
12,0
13,0
12,0
11,0
12,0
12,0
13,0
13,0
11,0
11,0
11,0
11,0
11,0
12,0
12,0
12,0
12,0
12,0
11,0
11,0
10,0
12,0
12,0
12,0
12,0
12,0
11,0
11,0
12,0
13,0
13,0
12,0
12,0
13,0
11,0
10,0
11,0
13,0
15,0
13,0
13,0
12,0
11,0
12,0
13,0
12,0
13,0
12,0
13,0
10,0
12,0
11,0
11,0
11,0
12,0
12,0
11,0
11,0
12,0
11,0
11,0
12,0
12,0
11,0
13,0
11,0
12,0
11,0
11,0
12,0
12,0
11,0
11,0
11,0
14,0
14,0
13,0
11,0
11,0
12,0
11,0
12,0
12,0
10,0
11,0
13,0
11,0
12,0
13,0
13,0
10,0
9,0
10,0
12,0
14,0
16,0
14,0
12,0
11,0
11,0
18,0
17,0
19,0
20,0
29,0
23,0
22,0
23,0
21,0
20,0
17,0
17,0
16,0
16,0
15,0
14,0
12,0
13,0
12,0
13,0
13,0
14,0
13,0
14,0
15,0
15,0
14,0
15,0
18,0
17,0
18,0
18,0
18,0
16,0
16,0
16,0
14,0
11,0
7,0
11,0
12,0
12,0
12,0
13,0
13,0
12,0
12,0
12,0
14,0
15,0
15,0
14,0
13,0
14,0
12,0
12,0
12,0
10,0
9,0
8,0
7,0
7,0
10,0
11,0
12,0
13,0
13,0
15,0
16,0
16,0
17,0
17,0
18,0
18,0
17,0
17,0
16,0
15,0
14,0
14,0
14,0
14,0
17,0
18,0
18,0
18,0
18,0
16,0
14,0
12,0
12,0
12,0
12,0
12,0
13,0
14,0
14,0
11,0
8,0
6,0
9,0
11,0
14,0
13,0
13,0
10,0
8,0
8,0
7,0
6,0
6,0
7,0
8,0
9,0
11,0
13,0
12,0
11,0
10,0
9,0
11,0
12,0
13,0
14,0
15,0
15,0
14,0
13,0
14,0
16,0
14,0
15,0
17,0
19,0
21,0
19,0
19,0
19,0
18,0
17,0
18,0
19,0
20,0
20,0
19,0
19,0
16,0
14,0
13,0
13,0
13,0
15,0
14,0
15,0
16,0
15,0
15,0
14,0
14,0
12,0
12,0
12,0
13,0
14,0
14,0
14,0
13,0
13,0
13,0
14,0
14,0
14,0
13,0
13,0
14,0
14,0
15,0
14,0
13,0
14,0
13,0
12,0
13,0
13,0
14,0
14,0
13,0
14,0
13,0
12,0
13,0
12,0
14,0
14,0
14,0
14,0
14,0
13,0
13,0
13,0
13,0
14,0
13,0
14,0
14,0
14,0
14,0
14,0
13,0
14,0
13,0
14,0
14,0
12,0
13,0
13,0
13,0
13,0
13,0
14,0
13,0
12,0
13,0
12,0
12,0
13,0
12,0
13,0
13,0
13,0
12,0
13,0
12,0
13,0
12,0
13,0
13,0
14,0
13,0
14,0
12,0
14,0
13,0
14,0
14,0
14,0
13,0
13,0
12,0
13,0
12,0
12,0
13,0
13,0
13,0
13,0
13,0
14,0
13,0
12,0
12,0
12,0
12,0
12,0
12,0
12,0
13,0
13,0
12,0
13,0
13,0
14,0
13,0
13,0
13,0
13,0
13,0
13,0
13,0
14,0
14,0
13,0
13,0
12,0
13,0
13,0
13,0
13,0
13,0
14,0
13,0
13,0
12,0
13,0
13,0
12,0
12,0
13,0
13,0
13,0
13,0
12,0
13,0
12,0
12,0
12,0
12,0
12,0
13,0
13,0
14,0
13,0
12,0
13,0
13,0
13,0
13,0
13,0
13,0
13,0
13,0
13,0
12,0
12,0
12,0
13,0
13,0
12,0
12,0
13,0
14,0
14,0
13,0
13,0
13,0
14,0
14,0
13,0
13,0
13,0
12,0
13,0
14,0
13,0
14,0
12,0
13,0
13,0
12,0
12,0
12,0
12,0
13,0
13,0
14,0
12,0
12,0
12,0
12,0
13,0
12,0
13,0
13,0
13,0
13,0
14,0
14,0
13,0
12,0
13,0
13,0
12,0
13,0
14,0
13,0
12,0
13,0
12,0
13,0
14,0
12,0
12,0
11,0
13,0
11,0
14,0
14,0
13,0
14,0
13,0
14,0
13,0
13,0
14,0
14,0
13,0
13,0
14,0
13,0
14,0
12,0
13,0
12,0
13,0
13,0
14,0
13,0
14,0
14,0
12,0
11,0
11,0
12,0
13,0
14,0
14,0
14,0
15,0
13,0
12,0
12,0
11,0
12,0
13,0
13,0
13,0
14,0
13,0
12,0
12,0
14,0
14,0
13,0
13,0
13,0
13,0
13,0
13,0
14,0
14,0
14,0
14,0
13,0
13,0
12,0
12,0
12,0
13,0
14,0
14,0
15,0
15,0
14,0
13,0
12,0
12,0
12,0
13,0
13,0
12,0
13,0
14,0
14,0
14,0
14,0
14,0
12,0
12,0
14,0
14,0
14,0
14,0
13,0
12,0
13,0
12,0
13,0
13,0
13,0
13,0
13,0
13,0
13,0
12,0
12,0
12,0
12,0
14,0
13,0
12,0
12,0
12,0
13,0
13,0
12,0
12,0
13,0
13,0
13,0
13,0
14,0
14,0
15,0
15,0
15,0
15,0
14,0
13,0
13,0
14,0
14,0
14,0
13,0
13,0
13,0
12,0
13,0
13,0
14,0
13,0
14,0
13,0
13,0
14,0
14,0
14,0
14,0
14,0
14,0
12,0
12,0
13,0
13,0
14,0
14,0
13,0
14,0
13,0
13,0
13,0
14,0
13,0
13,0
12,0
12,0
12,0
12,0
14,0
14,0
15,0
14,0
13,0
14,0
13,0
13,0
14,0
15,0
14,0
15,0
14,0
13,0
13,0
13,0
12,0
13,0
12,0
12,0
10,0
10,0
9,0
10,0
6,0
4,0
2,0
2,0
2,0
5,0
26,0
8,0
2,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
1,0
0,0
0,0
0,0
1,0
1,0
1,0
1,0
2,0
2,0
3,0
2,0
7,0
84,65
315,0
315,530
274,588
206,96
79,50
5,0
3,0
1,0
2,0
1,0
2,0
3,0
3,0
2,0
2,0
3,0
3,0
5,0
10,0
18,0
24,0
25,0
18,0
11,0
8,0
11,0
19,0
34,0
68,0
119,0
25,0
5,0
1,0
0,0
1,0
5,0
12,0
19,0
22,0
14,0
8,0
8,0
10,0
11,0
10,0
9,0
9,0
11,0
11,0
10,0
10,0
9,0
11,0
10,0
9,0
10,0
10,0
11,0
10,0
11,0
10,0
10,0
10,0
11,0
10,0
9,0
10,0
10,0
11,0
11,0
9,0
9,0
9,0
11,0
10,0
10,0
9,0
10,0
10,0
9,0
9,0
10,0
10,0
11,0
10,0
10,0
10,0
10,0
10,0
10,0
9,0
11,0
10,0
10,0
11,0
10,0
10,0
10,0
10,0
10,0
10,0
11,0
9,0
10,0
11,0
10,0
10,0
9,0
10,0
9,0
9,0
10,0
10,0
11,0
11,0
10,0
10,0
11,0
10,0
10,0
9,0
10,0
10,0
11,0
10,0
11,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
9,0
9,0
10,0
10,0
9,0
11,0
9,0
10,0
9,0
10,0
10,0
9,0
10,0
11,0
11,0
10,0
10,0
10,0
10,0
11,0
10,0
10,0
11,0
10,0
10,0
10,0
10,0
9,0
10,0
10,0
10,0
10,0
10,0
11,0
10,0
11,0
10,0
11,0
10,0
9,0
11,0
10,0
10,0
10,0
10,0
10,0
11,0
9,0
9,0
10,0
10,0
9,0
10,0
9,0
10,0
11,0
10,0
11,0
10,0
11,0
9,0
10,0
10,0
11,0
9,0
10,0
10,0
10,0
9,0
10,0
9,0
11,0
11,0
9,0
10,0
9,0
10,0
11,0
10,0
10,0
11,0
11,0
11,0
10,0
10,0
11,0
10,0
11,0
10,0
9,0
10,0
11,0
10,0
10,0
10,0
10,0
10,0
9,0
10,0
11,0
10,0
9,0
11,0
11,0
9,0
10,0
11,0
10,0
9,0
10,0
10,0
11,0
11,0
9,0
11,0
11,0
11,0
9,0
10,0
9,0
9,0
9,0
10,0
10,0
11,0
11,0
11,0
11,0
10,0
9,0
9,0
9,0
9,0
10,0
10,0
10,0
9,0
10,0
10,0
10,0
9,0
11,0
9,0
10,0
9,0
10,0
11,0
11,0
10,0
10,0
10,0
10,0
9,0
9,0
10,0
10,0
9,0
9,0
10,0
11,0
10,0
10,0
9,0
9,0
10,0
10,0
11,0
10,0
11,0
10,0
11,0
10,0
11,0
9,0
10,0
11,0
10,0
11,0
10,0
11,0
9,0
10,0
11,0
11,0
10,0
11,0
10,0
10,0
11,0
10,0
10,0
11,0
9,0
10,0
10,0
10,0
10,0
10,0
11,0
11,0
9,0
9,0
11,0
10,0
10,0
11,0
10,0
11,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
11,0
10,0
10,0
11,0
10,0
10,0
9,0
9,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
11,0
9,0
9,0
11,0
10,0
11,0
10,0
11,0
10,0
11,0
11,0
11,0
10,0
9,0
10,0
10,0
10,0
9,0
10,0
11,0
9,0
10,0
9,0
11,0
10,0
11,0
10,0
10,0
10,0
11,0
10,0
10,0
9,0
11,0
9,0
10,0
10,0
10,0
11,0
9,0
10,0
11,0
11,0
10,0
10,0
9,0
10,0
10,0
9,0
10,0
10,0
9,0
10,0
10,0
9,0
9,0
10,0
11,0
11,0
9,0
11,0
10,0
11,0
10,0
10,0
9,0
10,0
10,0
10,0
10,0
9,0
10,0
10,0
10,0
9,0
9,0
11,0
10,0
9,0
11,0
11,0
10,0
11,0
10,0
10,0
10,0
11,0
9,0
10,0
10,0
11,0
10,0
11,0
11,0
10,0
10,0
10,0
10,0
11,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
9,0
9,0
11,0
11,0
10,0
10,0
11,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
10,0
9,0
9,0
10,0
9,0
11,0
10,0
10,0
9,0
10,0
10,0
11,0
11,0
10,0
11,0
11,0
9,0
9,0
11,0
11,0
10,0
10,0
10,0
10,0
9,0
9,0
10,0
10,0
11,0
11,0
10,0
11,0
10,0
11,0
10,0
9,0
10,0
10,0
11,0
9,0
10,0
11,0
10,0
9,0
10,0
10,0
11,0
10,0
